ለንኡሳት	ለ+ንኡ+ሳት
ነፂረከ	ነ+ፂረከ
ነፂረኪ	ነ+ፂረኪ
ነፂረክሙ	ነ+ፂረክሙ
ነፂረክን	ነ+ፂረክን
ነፂሩ	ነ+ፂሩ
ነፂራ	ነ+ፂራ
ነፂርየ	ነ+ፂርየ
ነፂሮሙ	ነ+ፂሮሙ
ነፂሮን	ነ+ፂሮን
ንኡሰ	ንኡ+ሰ
ንኡሳን	ንኡ+ሳን
ንኡስክሙ	ንኡስ+ክሙ
አዕይንተ	አዕ+ይን+ተ
አዕይንቱ	አዕ+ይን+ቱ
ኢመጻእከ	ኢ+መ+ጻእከ
ኢመጽአ	ኢ+መጽአ
ኢመጽአት	ኢ+መጽአ+ት
ኢሰፋሕነ	ኢ+ሰ+ፋሕነ
ኢሰፋሕከ	ኢ+ሰ+ፋሕከ
ኢሰፋሕኩ	ኢ+ሰ+ፋሕኩ
ኢሰፋሕኪ	ኢ+ሰ+ፋሕኪ
ኢሰፍሐ	ኢ+ሰፍሐ
ኢሰፍሐት	ኢ+ሰፍሐ+ት
ኢሰፍሕክን	ኢ+ሰፍ+ሕክን
ኢስፋሐ	ኢ+ስፋሐ
ወለንኡሳትሂ	ወለ+ንኡ+ሳትሂ
ወለንኡሳትሰ	ወለ+ንኡ+ሳትሰ
ወለንኡሳን	ወለ+ንኡ+ሳን
ወመጻአከ	ወ+መ+ጻአከ
ወመጽአ	ወ+መጽአ
ወመጽአት	ወ+መጽአ+ት
ወሰፋሕኪ	ወ+ሰ+ፋሕኪ
ወሰፋሕክሙ	ወ+ሰ+ፋሕክሙ
ወሰፍሐ	ወ+ሰፍሐ
ወሰፍሐት	ወ+ሰፍሐ+ት
ወሰፍሐነ	ወ+ሰፍሐ+ነ
ወሰፍሑ	ወ+ሰፍ+ሑ
ወበላዕከ	ወ+በ+ላዕከ
ወበላዕኩ	ወ+በ+ላዕኩ
ወበላዕኪ	ወ+በ+ላዕኪ
ወበላዕክሙ	ወ+በ+ላዕክሙ
ወበልዐ	ወ+በልዐ
ወበልዐት	ወ+በልዐ+ት
ወበልዑ	ወ+በል+ዑ
ወበማዕጾነ	ወበ+ማዕጾ+ነ
ወበማዕጾየ	ወበ+ማዕጾየ
ወነፀረ	ወ+ነፀረ
ወነፀረት	ወ+ነ+ፀረት
ወነፀርነ	ወ+ነ+ፀርነ
ወነፀርከ	ወ+ነ+ፀርከ
ወነፀርኩ	ወ+ነ+ፀርኩ
ወነፀርኪ	ወ+ነ+ፀርኪ
ወነፀርክሙ	ወ+ነ+ፀርክሙ
ወነፀርክን	ወ+ነ+ፀርክን
ወነፂረነ	ወ+ነ+ፂረነ
ወነፂረከ	ወ+ነ+ፂረከ
ወነፂረኪ	ወ+ነ+ፂረኪ
ወነፂረክሙ	ወ+ነ+ፂረክሙ
ወነፂረክን	ወ+ነ+ፂረክን
ወነፂሩ	ወ+ነ+ፂሩ
ወነፂራ	ወ+ነ+ፂራ
ወነፂርነ	ወ+ነ+ፂርነ
ወነፂርየ	ወ+ነ+ፂርየ
ወነፂሮሙ	ወ+ነ+ፂሮሙ
ወነፂሮን	ወ+ነ+ፂሮን
ወንኡሰ	ወ+ንኡሰ
ወንኡሳን	ወ+ንኡ+ሳን
ወአዕይንተ	ወአዕ+ይን+ተ
ወአዕይንቱ	ወአዕ+ይን+ቱ
ወአዕይንት	ወአዕ+ይን+ት
ወኢይትዐጸዉ	ወኢይ+ትዐጸ+ዉ
ወኢይትዐጸዋ	ወኢይ+ትዐጸ+ዋ
ወኢይትዐጾ	ወኢይ+ትዐ+ጾ
ወዐይንኪ	ወ+ዐይን+ኪ
ወዐጸወት	ወ+ዐጸወ+ት
ወዐጸዉ	ወ+ዐጸ+ዉ
ወዐጸዋ	ወ+ዐጸ+ዋ
ወዐጸውነ	ወ+ዐጸ+ውነ
ወዐጸውከ	ወ+ዐጸ+ውከ
ወዐጸውኩ	ወ+ዐጸ+ውኩ
ወዐጸውኪ	ወ+ዐጸ+ውኪ
ወዘሐነጸት	ወዘ+ሐነጸ+ት
ወዘማዕጾሁ	ወዘ+ማዕጾ+ሁ
ወዘማዕጾሆሙ	ወዘ+ማዕጾ+ሆሙ
ወዘማዕጾክሙ	ወዘ+ማዕጾ+ክሙ
ወዘንኡስ	ወዘ+ንኡስ
ዐጸወት	ዐጸወ+ት
ዐጸዉ	ዐጸ+ዉ
ዐጸዋ	ዐጸ+ዋ
ዐጸውነ	ዐጸ+ውነ
ዐጸውከ	ዐጸ+ውከ
ዐጸውኩ	ዐጸ+ውኩ
ዐጸውኪ	ዐጸ+ውኪ
ዘመጻአከ	ዘ+መ+ጻአከ
ዘመጽአ	ዘ+መጽአ
ዘመጽአት	ዘ+መጽአ+ት
ዘማዕጾሁ	ዘ+ማዕጾ+ሁ
ዘማዕጾሆሙ	ዘ+ማዕጾ+ሆሙ
ዘማዕጾክሙ	ዘ+ማዕጾ+ክሙ
ዘሰማያዊ	ዘ+ሰማያዊ
ዘበላዕነ	ዘ+በ+ላዕነ
ዘበላዕከ	ዘ+በ+ላዕከ
ዘበላዕኩ	ዘ+በ+ላዕኩ
ዘበላዕኪ	ዘ+በ+ላዕኪ
ዘበላዕክሙ	ዘ+በ+ላዕክሙ
ዘበልዐ	ዘ+በልዐ
ዘበልዐት	ዘ+በልዐ+ት
ዘበልዑ	ዘ+በል+ዑ
ዘባሰማያት	ዘባሰማ+ያት
ዘኢይመጽእ	ዘኢይ+መጽእ
ዘዐይን	ዘ+ዐይን
ዘዐጸወት	ዘ+ዐጸወ+ት
ዘዐጸዉ	ዘ+ዐጸ+ዉ
ዘዐጸዋ	ዘ+ዐጸ+ዋ
ዘዐጸውነ	ዘ+ዐጸ+ውነ
ዘዐጸውከ	ዘ+ዐጸ+ውከ
ዘዐጸውኪ	ዘ+ዐጸ+ውኪ
እምንእስነ	እም+ንእስነ
እምንእስየ	እም+ንእስየ
እምንእስክሙ	እም+ንእስክሙ
እምንእስክን	እም+ንእስክን
እምንእሶሙ	እም+ንእሶሙ
እምንእሶን	እም+ንእሶን
ወእምንእስከ	ወእ+ምንእስከ
ወእምንእስኪ	ወእ+ምንእስኪ
ወእምንእስነ	ወእ+ምንእስነ
ወእምንእስየ	ወእ+ምንእስየ
ወእምንእስክሙ	ወእ+ምንእስክሙ
ሐዘኖሙ	ሐዘ+ኖሙ
ሐዘኖን	ሐዘ+ኖን
ሐዘንከ	ሐዘን+ከ
ሐዘንኪ	ሐዘን+ኪ
ወበእሳት	ወበ+እሳት
ዘእሳት	ዘ+እሳት
እሳትኒ	እሳት+ኒ
ዘበእሳት	ዘበ+እሳት
ለእሳት	ለ+እሳት
በእሳተ	በ+እሳተ
ዘበእሳታ	ዘበ+እሳታ
ወእሳቱ	ወ+እሳቱ
ወዐጸወ	ወ+ዐጸወ
በላዕክን	በ+ላዕክን
ወበላዕክን	ወ+በላዕክን
ዘበላዕክን	ዘ+በላዕክን
በልዕዎ	በል+ዕዎ
ወበልዕዎ	ወበል+ዕዎ
ዘበልዕዎ	ዘበል+ዕዎ
በልዖ	በል+ዖ
ወበልዖ	ወበል+ዖ
ዘበልዖ	ዘ+በልዖ
በልዐቶ	በልዐ+ቶ
ወበልዐቶ	ወ+በልዐቶ
ዘበልዐቶ	ዘ+በልዐቶ
ወበላዕነ	ወ+በላዕነ
ሰፍሐት	ሰፍሐ+ት
ሰፍሐክሙ	ሰፍሐ+ክሙ
ኢሰፋሕክሙ	ኢ+ሰፋሕክሙ
ሰፍሐክን	ሰፍሐ+ክን
ሰፋሕነ	ሰ+ፋሕነ
ሰፋሕኩ	ሰ+ፋሕኩ
ሰፋሕከ	ሰ+ፋሕከ
ሰፋሕኪ	ሰ+ፋሕኪ
ሰፊሖሙ	ሰ+ፊሖሙ
ሰፊሖን	ሰ+ፊሖን
ሰፊሖ	ሰ+ፊሖ
ሰፊሓ	ሰ+ፊሓ
ሐዘንነ	ሐዘን+ነ
ሐዘና	ሐዘ+ና
ሐዘኑ	ሐዘ+ኑ
ሐዘንክሙ	ሐዘን+ክሙ
ሐዘንክን	ሐዘን+ክን
ወሐዘኖሙ	ወ+ሐዘኖሙ
ወሐዘኖን	ወ+ሐዘኖን
ወሐዘንከ	ወ+ሐዘንከ
ወሐዘንኪ	ወ+ሐዘንኪ
ወሐዘንነ	ወ+ሐዘንነ
ወሐዘና	ወ+ሐዘና
ወሐዘኑ	ወ+ሐዘኑ
ወሐዘንክሙ	ወ+ሐዘንክሙ
ወሐዘንክን	ወ+ሐዘንክን
እምሐዘን	እም+ሐዘን
ለሐዘን	ለ+ሐዘን
ወየሐዝን	ወየ+ሐዝን
ወየሐዝኑ	ወየ+ሐዝኑ
ወየሐዝና	ወየ+ሐዝና
ወየሐዝነከ	ወየ+ሐዝነከ
ወየሐዝነኪ	ወየ+ሐዝነኪ
ወየሐዝነክሙ	ወየ+ሐዝነክሙ
ወየሐዝነክን	ወየ+ሐዝነክን
ወየሐዝኖሙ	ወየ+ሐዝኖሙ
ወተሐዝን	ወተ+ሐዝን
ወሐዘነ	ወ+ሐዘነ
ወሐዚነከ	ወ+ሐዚነከ
ከማየ	ከ+ማየ
ከማከ	ከ+ማከ
ከማኪ	ከ+ማኪ
ከማነ	ከ+ማነ
ከማሁ	ከ+ማሁ
ከማሃ	ከ+ማሃ
ከማክሙ	ከ+ማክሙ
ከማክን	ከ+ማክን
ከማሆሙ	ከ+ማሆሙ
ከማሆን	ከ+ማሆን
እምሰማይኑ	እም+ሰማይኑ
ሰማይኒ	ሰማይ+ኒ
በሰማይ	በ+ሰማይ
በሰማይኒ	በ+ሰማይኒ
ለሰማያዊ	ለ+ሰማያዊ
በሰማያት	በ+ሰማያት
ሰማያት	ሰማ+ያት
ሰማያትሰ	ሰማ+ያትሰ
ወለዘበሰማያት	ወለዘበ+ሰማያት
እምሰማያት	እም+ሰማያት
ዘእምሰማያት	ዘእም+ሰማያት
ሰማያትኒ	ሰማ+ያትኒ
ውእቶሙ	ውእ+ቶሙ
ውእቶን	ውእ+ቶን
ውእቱኬ	ውእቱ+ኬ
እምጻእ	እ+ምጻእ
ኢይመጽእ	ኢይ+መጽእ
ዘእመጽእ	ዘእ+መጽእ
መጽኡ	መጽ+ኡ
ወመጽኡ	ወ+መጽኡ
ዘመጽኡ	ዘመጽ+ኡ
ይመጽኡ	ይ+መጽኡ
ዘይመጽኡ	ዘይ+መጽኡ
መጺኦሙ	መ+ጺኦሙ
ወመጺኦሙ	ወ+መጺኦሙ
ኢመጽኡ	ኢ+መጽኡ
ወኢመጽኡ	ወኢ+መጽኡ
መጺኦን	መ+ጺኦን
ወመጺኦን	ወ+መጺኦን
ኢመጽኣ	ኢ+መጽኣ
ወኢመጽኣ	ወኢ+መጽኣ
ኢመጻእኩ	ኢ+መጻእኩ
መጻእኩ	መ+ጻእኩ
ይመጽእ	ይ+መጽእ
ወይመጽእ	ወይ+መጽእ
እመጽእ	እ+መጽእ
ወእመጽእ	ወ+እመጽእ
ትመጽኢ	ት+መጽኢ
ዘትመጽኢ	ዘት+መጽኢ
ትመጽኡ	ት+መጽኡ
ለዘትመጽኡ	ለዘት+መጽኡ
መጻእኪ	መ+ጻእኪ
መጻእክሙ	መ+ጻእክሙ
ወመጻእክሙ	ወ+መጻእክሙ
ዘመጻእክሙ	ዘ+መጻእክሙ
መጻእክን	መ+ጻእክን
ወመጻእክን	ወ+መጻእክን
ዘመጻእክን	ዘ+መጻእክን
ትምጻእ	ት+ምጻእ
መጻእነ	መ+ጻእነ
ወመጻእነ	ወ+መጻእነ
ዘመጻእነ	ዘ+መጻእነ
ኢንመጽእ	ኢን+መጽእ
ወመጻእኩ	ወ+መጻእኩ
ዘመጻእኩ	ዘ+መጻእኩ
አብርሃ	አ+ብርሃ
አብርሃት	አ+ብርሃት
አብራህኪ	አ+ብራህኪ
አብራህነ	አ+ብራህነ
ያበርህ	ያ+በርህ
ያበርሁ	ያ+በርሁ
ያበርሃ	ያ+በርሃ
ታበርህ	ታ+በርህ
ታበርሁ	ታ+በርሁ
ብርሃኖ	ብርሃ+ኖ
ወአብራህክሙ	ወአ+ብራህክሙ
ሐነጽክሙ	ሐነ+ጽክሙ
ስብሕዎ	ስብ+ሕዎ
ይሴብሕዎሙ	ይ+ሴብሕዎሙ
