ከየቤቱና	ከ_እየ_ቤት_ኡ_እና
ወስዶኣቸው	ወስ-እደ-ኦቸው
ወስዶኣቸዋል	ወስ-እደ-ኦኣቸዋል
ወሰዳቸው	ወሰደ-ኣቸው
ወሰደችው	ወሰደ-ችው
የሚወስደውን	የሚ-ወስ-እደ-ውን
የሚወስዳቸው	የሚ-ወስ-እደ-ኣቸው
መንገድ	መንገድ-
መንገዳችሁ	መንገድ-ኣችሁ
መንገዳቸው	መንገድ-ኣቸው
በመንገዳችን	በ-መንገድ-ኣችን
ከመንገዳችን	ከ-መንገድ-ኣችን
በመንገዳችሁም	በ-መንገድ-ኣችሁም
ከመንገዱ	ከ-መንገድ-ኡ
መንገዳችን	መንገድ-ኣችን
እንደመንገዳችን	እንደ-መንገድ-ኣችን
ቢሆንም	ቢ-ሆነ-እም
ልጅ	ልጅ-
ልጆች	ልጅ-ኦች
ልጆችቻችን	ልጅ-ኦቻችን
ልጆችቻችሁ	ልጅ-ኦቻችሁ
እንደልጆችቻችሁ	እንደ-ልጅ-ኦቻችሁ
በልጆችቻችሁ	በ-ልጅ-ኦቻችሁ
ከልጆችቻችሁ	ከ-ልጅ-ኦቻችሁ
ለልጆችቻችሁ	ለ-ልጅ-ኦቻችሁ
ለልጆችቻችን	ለ-ልጅ-ኦቻችን
በመሆኑም	በመ-ሆነ-ኡም
መሆኑም	መ-ሆነ-ኡም
ከመሆኑም	ከመ-ሆነ-ኡም
አንድነት	አንድ-ነት
በአንድነት	በ-አንድ-ነት
በአንድነችን	በ-አንድ-ነችን
በአንድነችሁ	በ-አንድ-ነችሁ
የተወለዱ	የተ-ወለደ-ኡ
የተወለዳችሁ	የተ-ወለደ-ኣችሁ
በመወለዳችሁ	በመ-ወለደ-ኣችሁ
ከመወለዳችሁ	ከመ-ወለደ-ኣችሁ
የማይበሰብሰውን	የማይ-በሰበ-እ-ሰ-ውን
ህልውናቸውም	ህልውና-ቸውም
ህልውናቸውንም	ህልውና-ቸውንም
ህልውናቸን	ህልውና-ቸን
ከህልውናቸን	ከ-ህልውና-ቸን
በህልውናቸን	በ-ህልውና-ቸን
ዳግማዊ	ዳግም-ኣዊ
ከዳግማዊ	ከ-ዳግም-ኣዊ
በዳግማዊት	በ-ዳግም-ኣዊት
አካላችን	አካል-ኣችን
አካላችሁ	አካል-ኣችሁ
በአካላችን	በ-አካል-ኣችን
ስለአካላችን	ስለ-አካል-ኣችን
መካከል	መካከል-
በመካከል	በ-መካከል
በመካከላችን	በ-መካከል-ኣችን
ከመካከላችን	ከ-መካከል-ኣችን
ከመካከላችቸው	ከ-መካከል-ኣቸው
በመካከላችቸው	በ-መካከል-ኣቸው
በየሥርዓቱ	በየ-ሥርዓት-ኡ
ከሥርዓቱ	ከ-ሥርዓት-ኡ
ከሥርዓቱም	ከ-ሥርዓት-ኡም
በሥርዓት	በ-ሥርዓት
እንደሥርዓቱንም	እንደ-ሥርዓት-ኡንም
በሥርዓታችን	በ-ሥርዓት-ኣችን
የሥርዓታችን	የ-ሥርዓት-ኣችን
የሥርዓታችቸው	የ-ሥርዓት-ኣቸው
መጀመሪያ	መ-ጀመረ-ኢያ
መጀመሪያችን	መ-ጀመረ-ኢያችን
መጨረሻ	መጨረሻ-
መጨረሻችን	መጨረሻ-ችን
መጨረሻችሁ	መጨረሻ-ችሁ
በመጨረሻችሁ	በ-መጨረሻ-ችሁ
ከመጨረሻችሁ	ከ-መጨረሻ-ችሁ
ከመጨረሻችሁም	ከ-መጨረሻ-ችሁም
መጣበት	መጣ-በት
በሚመጣበት	በሚ-መጣ-በት
ከሚመጣበት	ከሚ-መጣ-በት
ከሚመጣ	ከሚ-መጣ
ከሚመጡ	ከሚመጣ-ኡ
ከሚመጡበት	በሚ-መጡ-በት
ሲመጣ	ሲ-መጣ
ሲመጣበት	ሲ-መጣ-በት
ከመጣበት	ከ-መጣ-በት
በመጣበት	በ-መጣ-በት
ሲመጣባችሁ	ሲ-መጣ-ባችሁ
ወገናቸው	ወገን-ኣቸው
ወገኖቻችን	ወገን-ኦቻችን
በወገናቸው	በ-ወገን-ኣቸው
በወገኖቻቸው	በ-ወገን-ኦቻቸው
ስለወገኖቻቸው	ስለ-ወገን-ኦቻቸው
ሰዎች	ሰው-ኦች
ለሰው	ለ-ሰው
ከሰዎች	ከ-ሰው-ኦች
ለሰዎች	ለ-ሰው-ኦች
ስለሰዎች	ስለ-ሰው-ኦች
እንደሰዎች	እንደ-ሰው-ኦች
በሥጋ	በ-ሥጋ
በሥጋችን	በ-ሥጋ-ችን
ከሥጋችን	ከ-ሥጋ-ችን
ስለሥጋችን	ስለ-ሥጋ-ችን
እንደሥጋችን	እንደ-ሥጋ-ችን
ታልቅነቱ	ታላቅ-ነቱ
ስለታላቅነቱ	ስለ-ታላቅ-ነቱ
ታላቃችን	ታላቅ-ኣችን
ከታላቃችን	ከ-ታላቅ-ኣችን
የሚነገርበት	የሚ-ነገረ-እበት
የሚነገርበትና	የሚ-ነገረ-እበት-እና
ከሚነገርበትና	ከሚ-ነገረ-እበት-እና
ስለሚነገርበት	ስለሚ-ነገረ-እበት
ቸርነት	ቸርነት-
ቸርነቱ	ቸርነት-ኡ
ስለቸርነቱ	ስለ-ቸርነት-ኡ
በቸርነቱ	በ-ቸርነት-ኡ
እንደቸርነቱ	እንደ-ቸርነት-ኡ
የቸርነት	የ-ቸርነት
የቸርነታችን	የ-ቸርነት-ኣችን
እንደቸርነታችን	እንደ-ቸርነት-ኣችን
እንደቸርነታችሁ	እንደ-ቸርነት-ኣችሁ
በቸርነታችሁ	በ-ቸርነት-ኣችሁ
ትንሳኤው	ትንሳኤ-ው
ትንሳኤውን	ትንሳኤ-ውን
ትንሳኤያቸው	ትንሳኤ-ያቸው
ሕይወታችንን	ሕይወት-ኣችንን
ሕይወታችን	ሕይወት-ኣችን
በሕይወታችን	በ-ሕይወት-ኣችን
ከሕይወታችን	ከ-ሕይወት-ኣችን
ስለሕይወታችን	ስለ-ሕይወት-ኣችን
እንደሕይወታችን	እንደ-ሕይወት-ኣችን
ኣንበሳ	ኣንበሳ-
እንስሳት	እንስሳ-ት
ቤት	ቤት-
ቤቶች	ቤት-ኦች
በቤቶች	በ-ቤት-ኦች
ከቤቶች	ከ-ቤት-ኦች
ከቤታችን	ከ-ቤት-ኣችን
እንደቤታችን	እንደ-ቤት-ኣችን
እንደቤታችሁ	እንደ-ቤት-ኣችሁ
ስለቤታችሁ	ስለ-ቤት-ኣችሁ
ሳይነካው	ሳይ-ነካ-ው
ከነካው	ከ-ነካ-ው
እንደነካው	እንደ-ነካ-ው
ስለነካው	ስለ-ነካ-ው
ስለተነካው	ስለ-ተ-ነካ-ው
ስለነካቸው	ስለ-ነካ-ቸው
ከነካቸው	ከ-ነካ-ቸው
መሆናችን	መሆን-ኣችን
መሆናችንን	መሆን-ኣችንን
መሆናቸው	መሆን-ኣቸው
ከመሆናቸው	ከ-መሆን-ኣቸው
የመሆናቸው	የ-መሆን-ኣቸው
በሕይወት	በ-ሕይወት
እንደጎረቤታችን	እንደ-ጎረቤት-ኣችን
ኢትዮጵያዊ	ኢትዮጵያ-ዊ
ሰላማዊ	ሰላም-ኣዊ
ባለቤቶች	ባለ-ቤት-ኦች
ሀገራችን	ሀገር-ኣችን
በሀገራችሁ	በ-ሀገር-ኣችሁ
