እምንእስነ	እም-ንእሰ-እነ
ከማነ	ከመ-ኣነ
ከማሁ	ከመ-ኣሁ
ከማሃ	ከመ-ኣሃ
ከማክሙ	ከመ-ኣክሙ
ከማክን	ከመ-ኣክን
ከማሆሙ	ከመ-ኣሆሙ
ከማሆን	ከመ-ኣሆን
እምሰማይኑ	እም-ሰማይ-ኑ
ሰማይኒ	ሰማይ-ኒ
በሰማይ	በ-ሰማይ
በሰማይኒ	በ-ሰማይ-ኒ
ለሰማያዊ	ለ-ሰማይ-ኣዊ
በሰማያት	በ-ሰማይ-ኣት
ሰማያት	ሰማይ-ኣት
ሰማያትሰ	ሰማይ-ኣትሰ
ወለዘበሰማያት	ወለዘበ-ሰማይ-ኣት
እምሰማያት	እም-ሰማይ-ኣት
ዘእምሰማያት	ዘእም-ሰማይ-ኣት
ሰማያትኒ	ሰማይ-ኣትኒ
ውእቱ	ውእቱ
ውእቶሙ	ውእቱ-ኦሙ
ውእቶን	ውእቱ-ኦን
ውእቱኬ	ውእቱ-ኬ
መጽአ	መጽአ-
እምጻእ	እ-መ-እ-ጽ-ኣ-እ
ኢይመጽእ	ኢይ-መጽእ
ዘእመጽእ	ዘእ-መጽእ
መጽኡ	መጽአ-ኡ
ወመጽኡ	ወ-መጽአ-ኡ
ዘመጽኡ	ዘመጽአ-ኡ
ይመጽኡ	ይ-መጽአ-ኡ
ዘይመጽኡ	ዘይ-መጽአ-ኡ
መጺኦሙ	መጽ-ኢ-አ-ኦሙ
ወመጺኦሙ	ወ-መጽ-ኢ-አ-ኦሙ
ኢመጽኡ	ኢ-መጽአ-ኡ
ወኢመጽኡ	ወኢ-መጽአ-ኡ
መጺኦን	መጽ-ኢ-አ-ኦን
ወመጺኦን	ወ-መጽ-ኢ-አ-ኦን
ኢመጽኣ	ኢ-መጽአ-ኣ
ወኢመጽኣ	ወኢ-መጽአ-ኣ
ኢመጻእኩ	ኢ-መጽ-ኣ-አ-እኩ
መጻእኩ	መጽ-ኣ-አ-እኩ
ኢመጽኡ	ኢ-መጽአ-ኡ
ይመጽእ	ይ-መጽአ-እ
ወይመጽእ	ወይ-መጽአ-እ
እመጽእ	እ-መጽአ-እ
ወእመጽእ	ወይ-መጽአ-እ
ትመጽኢ	ት-መጽአ-ኢ
ዘትመጽኢ	ዘት-መጽአ-ኢ
ትመጽኡ	ት-መጽአ-ኡ
ለዘትመጽኡ	ለዘት--መጽአ-ኡ
መጻእኪ	መጽ-ኣ-አ-እኪ
መጻእክሙ	መጽ-ኣ-አ-እክሙ
ወመጻእክሙ	ወ-መጽ-ኣ-አ-እክሙ
ዘመጻእክሙ	ዘ-መጽ-ኣ-አ-እክሙ
መጻእክን	መጽ-ኣ-አ-እክን
ወመጻእክን	ወ-መጽ-ኣ-አ-እክን
ዘመጻእክን	ዘ=መጽ-ኣ-አ-እክን
ትምጻእ	ት-መ-እ-ጽ-ኣ-አ-እ
መጻእነ	መጽ-ኣ-አ-እነ
ወመጻእነ	ወ-መጽ-ኣ-አ-እነ
ዘመጻእነ	ዘ-መጽ-ኣ-አ-እነ
ኢንመጽእ	ኢን-መጽአ-እ
መጻእኩ	መጽ-ኣ-አ-እኩ
ወመጻእኩ	ወ-መጽ-ኣ-አ-እኩ
ዘመጻእኩ	ዘ-መጽ-ኣ-አ-እኩ
ኢመጻእኩ	ኢ-መጽ-ኣ-አ-እኩ
አብርሃ	አ-በ-እርሀ-ኣ
አብርሃት	አ-በ-እርሀ-ኣት
ኣብራህከ	አ-በ-እርሀ-እከ
አብራህኪ	አ-በ-እርሀ-እኪ
ኣብራህክሙ	አ-በ-እርሀ-እክሙ
አብራህነ	አ-በ-እርሀ-እነ
ያበርህ	ያ-በርሀ-እ
ያበርሁ	ያ-በርሀ-ኡ
ያበርሃ	ያ-በርሀ-ኣ
ታበርህ	ታ-በርሀ-እ
ታበርሁ	ታ-በርሀ-ኡ
ብርሃኖ	ብርሃን-ኦ
ብርሃን	ብርሃን-
ታበርህ	ታ-በርሀ-እ
ወአብራህክሙ	ወአ-በ-እርሀ-እክሙ
ሐነጽክሙ	ሐነጸ-እክሙ
ኃይል	ኃይል-
ኃይልነ	ኃይል-ነ
ኃይልየ	ኃይል-የ
ኃይልከ	ኃይል-ከ
ኃይልኪ	ኃይል-ኪ
ኃይልክሙ	ኃይል-ክሙ
ኃይልክን	ኃይል-ክን
ኃይሎሙ	ኃይል-ኦሙ
ኃይሎን	ኃይል-ኦን
ኃይሉሂ	ኃይል-ኡሂ
ስብሕዎ	ሰብሐ-እዎ
ይሴብሕዎሙ	ይ-ሰ-ኤብሐ-እዎሙ
ወመጽአት	መጽአ--ት
ዘመጽአት	ዘ-መጽአ-ት
ኢመጽአት	ኢ-መጽአ-ት
ትመጽእ	ት-መጽአ-
ወመጽአ	ወ-መጽአ
መጽአ	መጽአ
ዘመጽአ	ዘ-መጽአ-ት
ኢመጽአ	ኢ-መጽአ
ዘኢይመጽእ	ዘኢይ-መጽአ
ለዘመጽአ	ለዘ-መጽአ
መጻአከ	መጽአ-ከ
ወመጻአከ	ወ-መጽአ-ከ
ዘመጻአከ	ዘ-መጽአ-ከ
ኢመጻእከ	ኢ-መጽአ-ከ
ወዘሐነጸት	ወዘ-ሐነጸ-ት
ዘዐይን	ዘ-ዐይን
ለዐይን	ለ-ዐይን
ወዐይንኪ	ወ-ዐይን-ኪ
ወአዕይንት	ወአዕ-ዐይን-ት
በአዕይንት	በአዕ-ዐይን-ት
አዕይንተ	አዕ-ዐይን--ተ
ወአዕይንተ	ወአዕ-ዐይን-ተ
በአዕይንተ	በአዕ-ዐይን-ተ
አዕይንቱ	አዕ-ዐይን-ቱ
ወአዕይንቱ	ወአዕ-ዐይን--ቱ
ልሳናቲክሙ	ልሳን-ቲክሙ
ልሳናቲክን	ልሳን-ቲክን
ልሳነቲከ	ልሳን-ትከ
ልሳናትኪ	ልሳን-ትኪ
ልሳንከ	ልሳን-ከ
ልሳንኪ	ልሳን-ኪ
ልሳንነ	ልሳን-ነ
ልሳናቲሆሙ	ልሳን-ኣቲሆሙ
ልሳናቲሆን	ልሳን-ኣቲሆን
ልሳኖሙ	ልሳን-ኦሙ
ልሳኖን	ልሳን-ኦን
ልሳኑ	ልሳን-ኡ
ልሳንየ	ልሳን-የ
ልሳንነ	ልሳን-ነ
ልሳናት	ልሳን-ኣት
ልሳናቲሁ	ልሳን-ኣቲሁ
ልሳናቲሃ	ልሳን-ኣቲሃ
ልሳናቲነ	ልሳን-ኣቲነ
ልሳኒክን	ልሳን-ኢክን
ወነፂሮን	ነጸረ-ኦን
ወነፂሩ	ነጸረ-ኡ
ወነፂራ	ነጸረ-ኣ
ወነፂረነ	ወ-ነጸረ-ነ
ወነፂርየ	ወ-ነጸረ-እየ
ወነፂረከ	ወ-ነጸረ-ከ
ወነፂረኪ	ወ-ነጸረ-ኪ
ወነፂረክሙ	ወ-ነጸረ-ክሙ
ወነፂረክን	ወ-ነጸረ-ክን
ነፀረት	ነጸረ-ት
ነፀርኩ	ነጸረ-ኩ
ነፀርከ	ነጸረ-ከ
ነፀርኪ	ነጸረ-ኪ
ነፀርክሙ	ነጸረ-ክሙ
ነፀርክን	ነጸረ-ክን
ነፀርነ	ነጸረ-እነ
