Ge'ez Word  	Prefix	root 	Infix	Suffix 
ንኡስክሙ	-	ንኡስ		-ክሙ
ወዘንኡስ	ወዘ-	ንኡስ		-
ንኡሳን	-	ንኡስ		-ኣን
ወንኡሳን	ወ-	ንኡስ		-ኣን
ወለንኡሳን	ወለ-	ንኡስ		-ኣን
ወለንኡሳትሂ	ወለ-	ንኡስ		-ኣትሂ
ወለንኡሳትሰ	ወለ-	ንኡስ		-ኣትሰ
ለንኡሳት	ለ-	ንኡስ		-ኣት
ልሳናቲክሙ	-	ልሳን		-ኣቲክሙ
ልሳናቲክን	-	ልሳን		-ኣቲክን
ልሳነቲከ	-	ልሳን		-ኣቲከ
ልሳናትኪ	-	ልሳን		-ኣቲኪ
ልሳንከ	-	ልሳን		-ከ
ልሳንኪ	-	ልሳን		-ኪ
ልሳንነ	-	ልሳን		-ነ
ልሳናቲሆሙ	-	ልሳን		-ኣቲሆሙ
ልሳናቲሆን	-	ልሳን		-ኣቲሆን
ልሳኖሙ	-	ልሳን		-ኦሙ
ልሳኖን	-	ልሳን		-ኦን
ልሳኑ	-	ልሳን		-ኡ
ልሳንየ	-	ልሳን		-የ
ልሳንነ	-	ልሳን		-ነ
ልሳናት	-	ልሳን		-ኣት
ልሳናቲሁ	-	ልሳን		-ኣቲሁ
ልሳናቲሃ	-	ልሳን		-ኣቲሃ
ልሳናቲነ	-	ልሳን		-ኣቲነ
ልሳንክን	-	ልሳን		-ክን
ወነፂሮሙ	ወ-	ነጸረ		-ኦሙ
ወነፂሮን	ወ-	ነጸረ		-ኦን
ወነፂሩ	ወ-	ነጸረ		-ኡ
ወነፂራ	ወ-	ነጸረ		-ኣ
ወነፂርነ	ወ-	ነጸረ		-እነ
ወነፂርየ	ወ-	ነጸረ		-እየ
ወነፂረከ	ወ-	ነጸረ		-ከ
ወነፂረኪ	ወ-	ነጸረ		-ኪ
ወነፂረክሙ	ወ-	ነጸረ		-ክሙ
ወነፂረክን	ወ-	ነጸረ		-ክን
ኃይል	-	ኃይል		-
ኃይልነ	-	ኃይል		-ነ
ኃይልየ	-	ኃይል		-የ
ኃይልከ	-	ኃይል		-ከ
ኃይልኪ	-	ኃይል		-ኪ
ኃይልክሙ	-	ኃይል		-ክሙ
ኃይልክን	-	ኃይል		-ክን
ኃይሎሙ	-	ኃይል		-ኦሙ
ኃይሎን	-	ኃይል		-ኦን
ኃይሉሂ	-	ኃይል		-ኡሂ
ሰማይ	-	ሰማይ		-
ሰማያዊ	-	ሰማይ		-ኣዊ
ዘሰማያዊ	ዘ-	ሰማይ		
ሰማያዊት	-	ሰማይ		-ዊት
ሰማያውያን	-	ሰማይ		-ውያን
ዘባሰማያት		ሰማይ		-ኣት
እምሰማይ		ሰማይ		
ወበማዕጾየ	ወበ-	ማዕጾ		
ወኢይትዐጸዉ	ወኢይ-	ዐጸወ		-ኡ
ወኢይትዐጸዋ	ወኢይ-	ዐጸወ		-ኣ
ወኢይትዐጾ	ወኢይ-	ዐጸወ		-ኦ
በልዐ	-	በልዐ		-
ወበልዐ	ወ-	በልዐ		-
ዘበልዐ	ዘ-	በልዐ		-
በልዐት	-	በልዐ		-ት
ወበልዐት	ወ-	በልዐ		-ት
ዘበልዐት	ዘ-	በልዐ		-ት
በልዑ	-	በልዐ		-ኡ
ወበልዑ	ወ-	በልዐ		-ኡ
ዘበልዑ	ዘ-	በልዐ		-ኡ
በላዕነ	-	በልዐ		-እነ
ዘበላዕነ	ዘ-	በልዐ		-እነ
በላዕከ	-	በልዐ		-እከ
ወበላዕከ	ወ-	በልዐ		እከ-
ዘበላዕከ	ዘ-	በልዐ		-እከ
በላዕኪ	-	በልዐ		-እኪ
ወበላዕኪ	ወ-	በልዐ		-እኪ
ዘበላዕኪ	ዘ-	በልዐ		-እኪ
በላዕኩ	-	በልዐ		-እኩ
ወበላዕኩ	ወ-	በልዐ		-እኩ
ዘበላዕኩ	ዘ-	በልዐ		-እኩ
በላዕክሙ	-	በልዐ		-እክሙ
ወበላዕክሙ	ወ-	በልዐ		-እክሙ
ዘበላዕክሙ	ዘ-	በልዐ		-እክሙ
ወንኡሳትሂ				
ወንኡሳን				
ወዘይንእስሂ				
ዘይንእስ				
ትንእስ				
እምንእስየ				
ወትንእስ				
ዘበንእስየ				
ለዘይንእስ				
እምንእስከ				
እምንእስኪ				
እምንእስነ				
እምንእስየ				
እምንእስክሙ				
እምንእስክን				
እምንእሶሙ				
