ለንኡሳት	ለ+ንኡ+ሳት
ነፂረከ	ነ+ፂረከ
ነፂረኪ	ነ+ፂረኪ
ነፂረክሙ	ነ+ፂረክሙ
ነፂረክን	ነ+ፂረክን
ነፂሩ	ነ+ፂሩ
ነፂራ	ነ+ፂራ
ነፂርየ	ነ+ፂርየ
ነፂሮሙ	ነ+ፂሮሙ
ነፂሮን	ነ+ፂሮን
ንኡሰ	ንኡ+ሰ
ንኡሳን	ንኡ+ሳን
ንኡስክሙ	ንኡስ+ክሙ
አዕይንተ	አዕ+ይን+ተ
አዕይንቱ	አዕ+ይን+ቱ
ኢመጻእከ	ኢ+መ+ጻእከ
ኢመጽአ	ኢ+መጽአ
ኢመጽአት	ኢ+መጽአ+ት
ኢሰፋሕነ	ኢ+ሰ+ፋሕነ
ኢሰፋሕከ	ኢ+ሰ+ፋሕከ
ኢሰፋሕኩ	ኢ+ሰ+ፋሕኩ
ኢሰፋሕኪ	ኢ+ሰ+ፋሕኪ
ኢሰፍሐ	ኢ+ሰፍሐ
ኢሰፍሐት	ኢ+ሰፍሐ+ት
ኢሰፍሕክን	ኢ+ሰፍ+ሕክን
ኢስፋሐ	ኢ+ስፋሐ
ወለንኡሳትሂ	ወለ+ንኡ+ሳትሂ
ወለንኡሳትሰ	ወለ+ንኡ+ሳትሰ
ወለንኡሳን	ወለ+ንኡ+ሳን
ወመጻአከ	ወ+መ+ጻአከ
ወመጽአ	ወ+መጽአ
ወመጽአት	ወ+መጽአ+ት
ወሰፋሕኪ	ወ+ሰ+ፋሕኪ
ወሰፋሕክሙ	ወ+ሰ+ፋሕክሙ
ወሰፍሐ	ወ+ሰፍሐ
ወሰፍሐት	ወ+ሰፍሐ+ት
ወሰፍሐነ	ወ+ሰፍሐ+ነ
ወሰፍሑ	ወ+ሰፍ+ሑ
ወበላዕከ	ወ+በ+ላዕከ
ወበላዕኩ	ወ+በ+ላዕኩ
ወበላዕኪ	ወ+በ+ላዕኪ
ወበላዕክሙ	ወ+በ+ላዕክሙ
ወበልዐ	ወ+በልዐ
ወበልዐት	ወ+በልዐ+ት
ወበልዑ	ወ+በል+ዑ
ወበማዕጾነ	ወበ+ማዕጾ+ነ
ወበማዕጾየ	ወበ+ማዕጾየ
ወነፀረ	ወ+ነፀረ
ወነፀረት	ወ+ነ+ፀረት
ወነፀርነ	ወ+ነ+ፀርነ
ወነፀርከ	ወ+ነ+ፀርከ
ወነፀርኩ	ወ+ነ+ፀርኩ
ወነፀርኪ	ወ+ነ+ፀርኪ
ወነፀርክሙ	ወ+ነ+ፀርክሙ
ወነፀርክን	ወ+ነ+ፀርክን
ወነፂረነ	ወ+ነ+ፂረነ
ወነፂረከ	ወ+ነ+ፂረከ
ወነፂረኪ	ወ+ነ+ፂረኪ
ወነፂረክሙ	ወ+ነ+ፂረክሙ
ወነፂረክን	ወ+ነ+ፂረክን
ወነፂሩ	ወ+ነ+ፂሩ
ወነፂራ	ወ+ነ+ፂራ
ወነፂርነ	ወ+ነ+ፂርነ
ወነፂርየ	ወ+ነ+ፂርየ
ወነፂሮሙ	ወ+ነ+ፂሮሙ
ወነፂሮን	ወ+ነ+ፂሮን
ወንኡሰ	ወ+ንኡሰ
ወንኡሳን	ወ+ንኡ+ሳን
ወአዕይንተ	ወአዕ+ይን+ተ
ወአዕይንቱ	ወአዕ+ይን+ቱ
ወአዕይንት	ወአዕ+ይን+ት
ወኢይትዐጸዉ	ወኢይ+ትዐጸ+ዉ
ወኢይትዐጸዋ	ወኢይ+ትዐጸ+ዋ
ወኢይትዐጾ	ወኢይ+ትዐ+ጾ
ወዐይንኪ	ወ+ዐይን+ኪ
ወዐጸወት	ወ+ዐጸወ+ት
ወዐጸዉ	ወ+ዐጸ+ዉ
ወዐጸዋ	ወ+ዐጸ+ዋ
ወዐጸውነ	ወ+ዐጸ+ውነ
ወዐጸውከ	ወ+ዐጸ+ውከ
ወዐጸውኩ	ወ+ዐጸ+ውኩ
ወዐጸውኪ	ወ+ዐጸ+ውኪ
ወዘሐነጸት	ወዘ+ሐነጸ+ት
ወዘማዕጾሁ	ወዘ+ማዕጾ+ሁ
ወዘማዕጾሆሙ	ወዘ+ማዕጾ+ሆሙ
ወዘማዕጾክሙ	ወዘ+ማዕጾ+ክሙ
ወዘንኡስ	ወዘ+ንኡስ
ዐጸወት	ዐጸወ+ት
ዐጸዉ	ዐጸ+ዉ
ዐጸዋ	ዐጸ+ዋ
ዐጸውነ	ዐጸ+ውነ
ዐጸውከ	ዐጸ+ውከ
ዐጸውኩ	ዐጸ+ውኩ
ዐጸውኪ	ዐጸ+ውኪ
ዘመጻአከ	ዘ+መ+ጻአከ
ዘመጽአ	ዘ+መጽአ
ዘመጽአት	ዘ+መጽአ+ት
ዘማዕጾሁ	ዘ+ማዕጾ+ሁ
ዘማዕጾሆሙ	ዘ+ማዕጾ+ሆሙ
ዘማዕጾክሙ	ዘ+ማዕጾ+ክሙ
ዘሰማያዊ	ዘ+ሰማያዊ
ዘበላዕነ	ዘ+በ+ላዕነ
ዘበላዕከ	ዘ+በ+ላዕከ
ዘበላዕኩ	ዘ+በ+ላዕኩ
ዘበላዕኪ	ዘ+በ+ላዕኪ
ዘበላዕክሙ	ዘ+በ+ላዕክሙ
ዘበልዐ	ዘ+በልዐ
ዘበልዐት	ዘ+በልዐ+ት
ዘበልዑ	ዘ+በል+ዑ
ዘባሰማያት	ዘባሰማ+ያት
ዘኢይመጽእ	ዘኢይ+መጽእ
ዘዐይን	ዘ+ዐይን
ዘዐጸወት	ዘ+ዐጸወ+ት
ዘዐጸዉ	ዘ+ዐጸ+ዉ
ዘዐጸዋ	ዘ+ዐጸ+ዋ
ዘዐጸውነ	ዘ+ዐጸ+ውነ
ዘዐጸውከ	ዘ+ዐጸ+ውከ
ዘዐጸውኪ	ዘ+ዐጸ+ውኪ
